,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agent-evaluator,Jupyter Notebook
55,ml-agm,Python
56,ml-aim,Python
57,ml-all-pairs,Python
58,ml-ane-transformers,Python
59,ml-aspanformer,Python
60,ml-aspera,Python
61,ml-aura,Python
62,ml-autofocusformer,Python
63,ml-autofocusformer-segmentation,Python
64,ml-batchquant,Python
65,ml-behavioral-testing-for-mt,
66,ml-bilevel-train-dist,Python
67,ml-bloop,Python
68,ml-calibration,Jupyter Notebook
69,ml-capsules-inverted-attention-routing,Python
70,ml-cifar-10-faster,Python
71,ml-code-switched-speech-translation,Python
72,ml-codeswitching-translations,
73,ml-collegial-ensembles,Python
74,ml-comotion,Python
75,ml-compress-and-compare,Python
76,ml-core,Python
77,ml-covid-mobility,R
78,ml-cread,Python
79,ml-cross-entropy,Python
80,ml-cubifyanything,Python
81,ml-cvnets,Python
82,ml-cvpr2019-swd,Python
83,ml-dab,Python
84,ml-data-parameters,Python
85,ml-dataset-decomposition,Python
86,ml-delphi,
87,ml-depth-pro,Python
88,ml-destseg,Python
89,ml-diffucoder,Python
90,ml-diffusion-alignment-gflownet,Python
91,ml-direct2.5,Python
92,ml-divide-or-conquer,Python
93,ml-dms-dataset,Python
94,ml-dprecs,Jupyter Notebook
95,ml-dr,Python
96,ml-duet,Python
97,ml-egodex,Python
98,ml-encqa,Python
99,ml-entity-deduction-arena,Python
100,ml-entropy-reconstruction,Python
101,ml-envmapnet,Python
102,ml-epicache,Python
103,ml-equivariant-neural-rendering,Jupyter Notebook
104,ml-facelit,Python
105,ml-famae,Python
106,ml-fastvit,Python
107,ml-fastvlm,Python
108,ml-fct,Python
109,ml-ferret,Python
110,ml-finerecon,Python
111,ml-flair,Jupyter Notebook
112,ml-flextok,Jupyter Notebook
113,ml-gaudi,
114,ml-gbc,Python
115,ml-gendered-translation,Ruby
116,ml-gie-bench,Python
117,ml-gmpi,Python
118,ml-gsm-symbolic,
119,ml-gsn,Python
120,ml-hd-gist,Python
121,ml-heart-rate-models,Python
122,ml-hierarchical-confusion-matrix,TypeScript
123,ml-hugs,Python
124,ml-hypercloning,Python
125,ml-hypersim,Python
126,ml-icr2,Python
127,ml-inrflow,Python
128,ml-interactive-data-augmentation,Svelte
129,ml-internal-llms-instruction-following,Python
130,ml-interspeech2022-phi_rtn,
131,ml-isqoe,Python
132,ml-jointnet,Python
133,ml-key-retrieval-code-tasks,Python
134,ml-keyframer,JavaScript
135,ml-kg-mt,Python
136,ml-kge,Python
137,ml-knowledge-conflicts,Python
138,ml-kpconvx,Python
139,ml-l3m,Python
140,ml-live-pose,
141,ml-llarp,Python
142,ml-loop,Python
143,ml-lucid-datagen,Python
144,ml-mad-bench,Jupyter Notebook
145,ml-matrix3d,Python
146,ml-mcf,Python
147,ml-mdm,Python
148,ml-mgie,Python
149,ml-mia-bench,Jupyter Notebook
150,ml-MixupMP,Python
151,ml-mkqa,Python
152,ml-mobileclip,Python
153,ml-mobileclip-dr,Python
154,ml-mobileone,Swift
155,ml-mofi,Python
156,ml-multiple-futures-prediction,Python
157,ml-mycelium,JavaScript
158,ml-ncg,Python
159,ml-negative-sampling,Python
160,ml-neilf,Python
161,ml-neilfpp,Python
162,ml-neuman,Python
163,ml-no-token-left-behind,Jupyter Notebook
164,ml-np-rasp,Python
165,ml-nvas3d,Python
166,ml-ogen,Python
167,ml-pfl4asr,Python
168,ml-pgdvs,Python
169,ml-planner,Python
170,ml-pointconvformer,Python
171,ml-pointersect,Python
172,ml-policy-projector,Python
173,ml-ppg-age-analysis,Python
174,ml-predict,Python
175,ml-primex,
176,ml-probabilistic-attention,Python
177,ml-projunit,Python
178,ml-pytod,Python
179,ml-qrecc,Python
180,ml-quant,Python
181,ml-recurrent-drafter,Python
182,ml-reed,Python
183,ml-reversal-blessing,Python
184,ml-rlgrad,Python
185,ml-robust-expert-augmentations,Python
186,ml-rpm-bench,Python
187,ml-sad,Python
188,ml-sage-dialog-gen,Python
